title,txt_content,time_sent,url,brand_name,is_fast_fashion,year
Celebrate the New Year,,"December 31, 2012 2:01pm",https://milled.com/Chanel/celebrate-the-new-year-iz1CJnVciF1k2LoS,Chanel,0,2012
"""1932"" Collection: Discover the Last Chapter","Having trouble with the email below? View on a mobile device or web browser. CHANEL.COM | Store Locator | Contact us | Follow us on To update your email preferences or to unsubscribe, please click here. CHANEL 9 WEST 57TH STREET, NEW YORK, NY 10019©2012 CHANEL®, Inc.","December 27, 2012 5:03pm",https://milled.com/Chanel/1932-collection-discover-the-last-chapter-LUaQjY7AdmvgRV74,Chanel,0,2012
Introducing the PRINTEMPS PRÉCIEUX DE CHANEL Collection,,"December 26, 2012 5:40pm",https://milled.com/Chanel/introducing-the-printemps-pr-cieux-de-chanel-collection-evI0CixOq6QyATXm,Chanel,0,2012
"For one day only, enjoy complimentary overnight shipping",,"December 21, 2012 12:01pm",https://milled.com/Chanel/for-one-day-only-enjoy-complimentary-overnight-shipping-UP40pbRidwy32UVE,Chanel,0,2012
"Complimentary second day shipping, just in time for the holidays",,"December 19, 2012 4:03pm",https://milled.com/Chanel/complimentary-second-day-shipping-just-in-time-for-the-holidays-byvKvCK2onwWg0FF,Chanel,0,2012
"Discover the fourth chapter of the ""1932"" Collection: FRANGES","Having trouble with the email below? View on a mobile device or web browser. CHANEL.COM | Store Locator | Contact us | Follow us on To update your email preferences or to unsubscribe, please click here. CHANEL 9 WEST 57TH STREET, NEW YORK, NY 10019©2012 CHANEL®, Inc.","December 17, 2012 9:03pm",https://milled.com/Chanel/discover-the-fourth-chapter-of-the-1932-collection-franges-H1C0J7wYbBnVgDTH,Chanel,0,2012
"Exceptional holiday gifts, delivered just in time",,"December 16, 2012 1:01pm",https://milled.com/Chanel/exceptional-holiday-gifts-delivered-just-in-time-eQlLK7JeXRICoo4C,Chanel,0,2012
Mademoiselle Privé Watch Collection,"Having trouble with the email below? View on a mobile device or web browser. CHANEL.COM | Store Locator | Contact us | Follow us on To update your email preferences or to unsubscribe, please click here. CHANEL 9 WEST 57TH STREET, NEW YORK, NY 10019©2012 CHANEL®, Inc.","December 15, 2012 5:02pm",https://milled.com/Chanel/mademoiselle-priv-watch-collection-sE3yUxfs4te4atP7,Chanel,0,2012
Wish for...timeless style,,"December 14, 2012 5:03pm",https://milled.com/Chanel/wish-for-timeless-style-Fo-ssBlHZ1laQOEA,Chanel,0,2012
Wish for...the ultimate allure,,"December 13, 2012 5:01pm",https://milled.com/Chanel/wish-for-the-ultimate-allure-BtHtQGEsShlbQ0wu,Chanel,0,2012
Wish for...the sublime,,"December 12, 2012 8:00pm",https://milled.com/Chanel/wish-for-the-sublime-3BOjYu5irAH4dMrV,Chanel,0,2012
Wish for...the unexpected,,"December 11, 2012 11:00pm",https://milled.com/Chanel/wish-for-the-unexpected-D5Pe-p-lLYQwzwa2,Chanel,0,2012
Wish for...effortless online shopping,,"December 10, 2012 10:45pm",https://milled.com/Chanel/wish-for-effortless-online-shopping-UbPz7d0Jkk1M9VOE,Chanel,0,2012
Discover the ULTRA Fine Jewelry Creations,"Having trouble with the email below? View on a mobile device or web browser. CHANEL.COM | Store Locator | Contact us | Follow us on To update your email preferences or to unsubscribe, please click here. CHANEL 9 WEST 57TH STREET, NEW YORK, NY 10019©2012 CHANEL®, Inc.","December 8, 2012 5:02pm",https://milled.com/Chanel/discover-the-ultra-fine-jewelry-creations-HIPfbhyORT0d5_x4,Chanel,0,2012
"Only on chanel.com: the radical, rebellious LE VERNIS in Rouge Noir",,"December 7, 2012 9:05pm",https://milled.com/Chanel/only-on-chanel-com-the-radical-rebellious-le-vernis-in-rouge-noir-xVmSZWheN5PxiUsF,Chanel,0,2012
Watch the full version of the Paris-Edimbourg 2012/13 Métiers d'Art Show,,"December 5, 2012 10:26pm",https://milled.com/Chanel/watch-the-full-version-of-the-paris-edimbourg-2012-13-m-tiers-dart-show-JkVeyzPISEYzkPdo,Chanel,0,2012
Collect the rare fragrances of LES EXCLUSIFS DE CHANEL,,"December 5, 2012 5:02pm",https://milled.com/Chanel/collect-the-rare-fragrances-of-les-exclusifs-de-chanel-fnf0TwWNkyCXKQy3,Chanel,0,2012
A Spirited Scent for the Season,,"December 3, 2012 10:00pm",https://milled.com/Chanel/a-spirited-scent-for-the-season-SGC8cKGKFfI3YP36,Chanel,0,2012
Celebrate the Season with new Diamond Creations from CHANEL Fine Jewelry,"Having trouble with the email below? View on a mobile device or web browser. CHANEL.COM | Store Locator | Contact us | Follow us on To update your email preferences or to unsubscribe, please click here. CHANEL 9 WEST 57TH STREET, NEW YORK, NY 10019©2012 CHANEL®, Inc.","December 1, 2012 5:02pm",https://milled.com/Chanel/celebrate-the-season-with-new-diamond-creations-from-chanel-fine-jewelry-s2DoggoH9LQuP_bX,Chanel,0,2012
Give him the gift of Allure,,"November 30, 2012 6:30pm",https://milled.com/Chanel/give-him-the-gift-of-allure-zGKw5xnt-WafbjtN,Chanel,0,2012
"Discover COCO NOIR, the luminous women's fragrance",,"November 28, 2012 6:01pm",https://milled.com/Chanel/discover-coco-noir-the-luminous-womens-fragrance-RmOMpM0_eO_36e29,Chanel,0,2012
Give the gift of Chanel this season,,"November 26, 2012 7:15pm",https://milled.com/Chanel/give-the-gift-of-chanel-this-season-VO2a4G8mDbx74U0a,Chanel,0,2012
Introducing LE VOLUME DE CHANEL,,"November 23, 2012 5:03pm",https://milled.com/Chanel/introducing-le-volume-de-chanel-b3kDRQsYCix8l8NQ,Chanel,0,2012
Pre-order the new mascara LE VOLUME DE CHANEL,,"November 22, 2012 5:02pm",https://milled.com/Chanel/pre-order-the-new-mascara-le-volume-de-chanel-fRM5e3tIUg17ckDE,Chanel,0,2012
"Discover the Third Chapter of the ""1932"" Collection: Ribbon","Having trouble with the email below? View on a mobile device or web browser. CHANEL.COM | Store Locator | Contact us | Follow us on To update your email preferences or to unsubscribe, please click here. CHANEL 9 WEST 57TH STREET, NEW YORK, NY 10019©2012 CHANEL®, Inc.","November 20, 2012 3:02pm",https://milled.com/Chanel/discover-the-third-chapter-of-the-1932-collection-ribbon-ZGlWwQ574UzqRBY4,Chanel,0,2012
